latitud,longitud,radio_error,n_gruas,direccion,num,cp,provincia,comunidad,pais,uso1,uso2,obra_nueva
41.494407354,2.1758972805,,,carrer Pablo Picasso,,08110,Montcada i Reixac,Catalonia,ES,residencial,residencial,1
41.4909095764,2.0348000526,,,Carrer de Magallanes,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.4855613708,2.0358500481,,,Carrer de Pitagores,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.493270874,2.0303499699,,,Carrer de Narcis Menard,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.48249,2.03889,,,Carrer de Marconi,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.4964003611,2.0343248619,,,Carrer de Santa Rita,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.49187,2.02293,,,Carrer de Cati Curet,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.4959795177,2.0393308828,,,Carrer la Pastora,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.4879468371,2.0350474517,,,Carrer de Miguel de Cervantes,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.5360168,2.2173336,,,Rambla de Balmes,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.49779,2.03242,,,Carrer del Doctor Zamenhoff,,08191,Rubi,Catalonia,ES,residencial,residencial,1
41.5353796,2.2165791307,,,Carrer de Berenguer III,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.538983,2.2153467,,,Carrer de Ramon Cases,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.5427275724,2.2045581921,,,33-35 Carrer de Sabadell,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.5424131,2.2218039,,,Avinguda de les Teixidores,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.5410509,2.211493,,,30 Carrer de Tarragona,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.4682,2.07604,,,Passatge del Carme,,08172,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4549334,2.0785975,,,Carrer Josep Llimona,,08172,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4681974733,2.0720236263,,,Avinguda de Can Picanyol,,08172,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4731156,2.0903671,,,Carrer del Valles,,08172,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4726976,2.0850261,,,Carrer del Migdia,,08172,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4820974,2.0721483,,,Carrer de la Mare de Deu del Roser,,08174,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4721647928,2.0698117434,,,Cami de Can Minguet,,08173,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4761642,2.0746416,,,Avinguda de Rius i Taulet,,08173,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.4833599,2.0673926,,,Carrer de Guadalupe Duran,,08174,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.5353285,2.1821487,,,La Rambla,,08130,Santa Perpetua de Mogoda,Catalonia,ES,residencial,residencial,1
41.4746414,2.0903571,,,Carrer Orient,,08173,Sant Cugat del Valles,Catalonia,ES,residencial,residencial,1
41.6924285889,2.1658298969,,,Avinguda de les Escoles,,08415,Sant Feliu de Codines,Catalonia,ES,residencial,residencial,1
41.5136184692,2.1255600452,,,Passeig Doctor Moragas,,08210,Barbera del Valles,Catalonia,ES,residencial,residencial,1
41.6667289734,2.3711299896,,,Passeig del Montnegre,,08440,Sant Antoni de Vilamajor,Catalonia,ES,residencial,residencial,1
41.663994522,2.2653810826,,,Carrer del Mestre Ramon Capell,,08593,l'Ametlla del Valles,Catalonia,ES,residencial,residencial,1
41.6267318726,2.1656799316,,,Carrer del Montseny,,08140,Caldes de Montbui,Catalonia,ES,residencial,residencial,1
41.4813995361,2.3289699554,,,Carrer de Brasil,,08320,el Masnou,Catalonia,ES,otros,industrial,1
41.6572303772,2.2575800419,,,Avinguda Onze de Setembre,,08593,l'Ametlla del Valles,Catalonia,ES,residencial,residencial,1
41.6295056916,2.1663453149,,,Carrer de l'Estacio,,08140,Caldes de Montbui,Catalonia,ES,residencial,residencial,1
